freq,coicop,geo\TIME_PERIOD	2019 	2020 	2021 	2022 
A,CP06231,EE	0.00 	0.00 	0.00 	0.00 
A,CP06232,EE	0.00 	0.00 	0.00 	0.00 
A,CP06239,EE	2.51 	2.39 	2.79 	3.23 
A,CP063,EE	7.18 	7.13 	8.47 	6.95 
A,CP07,EE	137.98 	141.96 	130.95 	144.64 
A,CP071,EE	36.12 	37.93 	41.01 	45.76 
A,CP0711,EE	34.56 	36.57 	37.60 	42.73 
A,CP07111,EE	19.96 	20.06 	20.16 	25.51 
A,CP07112,EE	14.60 	16.51 	17.45 	17.23 
A,CP0712,EE	0.00 	0.00 	0.00 	0.00 
A,CP0712-0714,EE	1.56 	1.36 	3.41 	3.03 
A,CP0713,EE	1.56 	1.36 	3.41 	3.03 
A,CP0714,EE	0.00 	0.00 	0.00 	0.00 
A,CP072,EE	64.53 	69.22 	68.18 	77.50 
A,CP0721,EE	5.75 	5.92 	6.25 	5.73 
A,CP07211,EE	1.51 	1.62 	1.59 	1.38 
A,CP07212,EE	3.48 	3.39 	2.84 	2.67 
A,CP07213,EE	0.76 	0.91 	1.82 	1.68 
A,CP0722,EE	49.47 	53.26 	49.25 	58.09 
A,CP07221,EE	19.98 	20.97 	18.86 	24.09 
A,CP07222,EE	29.24 	32.01 	30.02 	33.63 
A,CP07223,EE	0.00 	0.00 	0.00 	0.00 
A,CP07224,EE	0.25 	0.28 	0.37 	0.37 
A,CP0723,EE	6.54 	6.75 	8.52 	8.98 
A,CP0724,EE	2.76 	3.28 	4.16 	4.71 
A,CP07241,EE	0.83 	1.03 	1.30 	1.17 
A,CP07242,EE	0.00 	0.00 	0.00 	0.00 
A,CP07243,EE	1.94 	2.25 	2.86 	3.54 
A,CP073,EE	37.33 	34.81 	21.77 	21.38 
A,CP0731,EE	3.00 	3.05 	2.68 	2.10 
A,CP07311,EE	3.00 	3.05 	2.68 	2.10 
A,CP07312,EE	0.00 	0.00 	0.00 	0.00 
A,CP0732,EE	14.04 	12.46 	10.79 	10.74 
A,CP07321,EE	12.03 	10.44 	8.74 	8.61 
A,CP07322,EE	2.01 	2.01 	2.05 	2.13 
A,CP0733,EE	11.85 	11.54 	3.50 	4.49 
A,CP07331,EE	0.00 	0.00 	0.00 	0.00 
